Designator,Mid X,Mid Y,Rotation,Layer
C1,85.25,-82.75,90.0,top
C10,93.75,-89.75,270.0,top
C11,113.75,-81.625,180.0,top
C12,108.875,-80.875,0.0,top
C2,133.0,-84.0,0.0,top
C3,133.125,-79.0,0.0,top
C4,132.75,-73.375,0.0,top
C5,80.375,-82.625,90.0,top
C6,91.375,-89.75,270.0,top
C8,109.5,-77.5,270.0,top
C9,114.75,-77.5125,90.0,top
J1,147.205,-102.665,0.0,top
J2,83.375,-63.145,270.0,top
MINIUSB,78.0,-74.5,270.0,top
R17,95.25,-69.75,0.0,top
R18,91.625,-73.125,0.0,top
R19,88.6625,-69.75,0.0,top
RN1,155.6,-89.85,270.0,bottom
RN2,155.625,-84.5,270.0,bottom
RN3,155.6,-77.925,90.0,bottom
RN4,155.525,-72.45,90.0,bottom
SRAM_1,137.3125,-85.0,180.0,bottom
SRAM_2,137.375,-73.125,180.0,bottom
U1,111.25,-79.125,0.0,bottom
U2,92.9,-82.8,180.0,top
